会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL
株式会社Voicy,小出・長谷部,"",pr@voicy.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000308.000021111.html
株式会社enish,"",03-6447-4020,pr@enish.com,アプリ,https://prtimes.jp/main/html/rd/p/000000710.000012086.html
ニキ株式会社,王,050-1745-7003,wang.w@papegames.net,アプリ,https://prtimes.jp/main/html/rd/p/000000036.000046454.html
株式会社DeNA SOMPO Mobility,担当:塚越(DeNA広報),"",pr@dena.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000060.000044125.html
株式会社ブシロード,小林、藤田,"",press@bushiroad.com,アプリ,https://prtimes.jp/main/html/rd/p/000006756.000014827.html
LINE株式会社,金島・生田・高橋・上野,"",press@linecorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000004348.000001594.html
ALAKI株式会社,　： 伊東,06-7878-5226,： support@alaki.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000008.000092521.html
ポノス株式会社,"","",pressrelease@ponos.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000458.000036495.html
楽天グループ株式会社,"","",pr@mail.rakuten.com,アプリ,https://prtimes.jp/main/html/rd/p/000001962.000005889.html
"Strava, Inc.","","",strava@ozma.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000002.000117531.html
"Audible, Inc.",吉松（080-4734-8432）、朝日奈（070-1230-7937）、榛沢、蛭川,"",audible_pr@ssu.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000178.000036126.html
株式会社 ソニー・ミュージックソリューションズ,"","",SMS.DB.hinatosho-info@sonymusic.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000086.000043535.html
株式会社フォトラクション,"",03-3527-3047,pr@photoruction.com,アプリ,https://prtimes.jp/main/html/rd/p/000000067.000033069.html
株式会社カカオピッコマ,"","",pr@kakaopiccoma.com,アプリ,https://prtimes.jp/main/html/rd/p/000000482.000003707.html
株式会社ヌーラボ,　安立（あだち）,"",pr@nulab.com,アプリ,https://prtimes.jp/main/html/rd/p/000000350.000025423.html
株式会社メルカリ,"","",press@kakelu.com,アプリ,https://prtimes.jp/main/html/rd/p/000000246.000026386.html
株式会社講談社,山本美沙子,03-3945-1111,mi-yamamoto@stf.kodansha.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000005120.000001719.html
株式会社セレス,廣木（ひろき）,03-5797-3347,pr-ir@ceres-inc.jp　TEL: 080-9204-6057（携帯）03-5797-3347（直通）,アプリ,https://prtimes.jp/main/html/rd/p/000000098.000021504.html
what3words Limited.,"","",pr_what3words@mint-japan.com,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000089785.html
株式会社カカオゲームズジャパン,"","",gamesjp_pr@kakaocorp.com,アプリ,https://prtimes.jp/main/html/rd/p/000000063.000073021.html
株式会社IRODORI,永井,"",kikaku@irodori-group.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000106438.html
株式会社みんなの銀行,今村・市原・中原,092-791-9231,pr@minna-no-ginko.com,アプリ,https://prtimes.jp/main/html/rd/p/000000118.000072105.html
株式会社Kdan Japan,千明,070-4378-0955,business_jp@kdanmobile.com,アプリ,https://prtimes.jp/main/html/rd/p/000000030.000054768.html
株式会社KADOKAWA,"","",gb-pr@ml.kadokawa.jp,アプリ,https://prtimes.jp/main/html/rd/p/000012716.000007006.html
株式会社西山居,"",03-6823-8650,k.nagami@kingsoft.com,アプリ,https://prtimes.jp/main/html/rd/p/000000007.000060740.html
DXYZ株式会社,"",03-4477-6589,pr@dxyz.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000038.000091732.html
プロパティエージェント株式会社,"",03-6302-3011,ir.info@propertyagent.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000228.000021233.html
株式会社メルカリ,高木,"",pr-mercari@mercari.com,アプリ,https://prtimes.jp/main/html/rd/p/000000245.000026386.html
株式会社エムティーアイ,"",03-5333-6755,mtipr@mti.co.jp　URL：https://www.mti.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001114.000002943.html
bravesoft株式会社,高瀬 将臣,03-6809-6030,m.takase@bravesoft.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000177.000054681.html
株式会社 uzumaki creative,中田朱音,070-3861-1827,info@uzumakicreative.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000029.000088580.html
大網株式会社,"","",y_moriyama@oh-ami.com,アプリ,https://prtimes.jp/main/html/rd/p/000001558.000025615.html
株式会社ミラティブ,倉橋,"",pr@mirrativ.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000102.000033025.html
バイドゥ株式会社,"","",pr-jp@baidu.com,アプリ,https://prtimes.jp/main/html/rd/p/000000702.000006410.html
RainbowLIVE株式会社,"","",contact＠rain-bow.live,アプリ,https://prtimes.jp/main/html/rd/p/000000043.000105215.html
ＫＯＣ・ＪＡＰＡＮ株式会社,竹中　仁志,03-6263-9508,support@koc-japan.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000032.000058501.html
テレビ愛知株式会社,春木、横山,052-203-0250,pr@hizakurige.com,アプリ,https://prtimes.jp/main/html/rd/p/000000402.000014948.html
株式会社Luup,松本・村本,"",pr@luup.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000208.000043250.html
株式会社STANDING OVATION,"",03-6447-1723,press@s-ovation.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000065.000011269.html
IGG,　佐藤 亨紀,"",sato.akinori@igg.com,アプリ,https://prtimes.jp/main/html/rd/p/000000310.000020234.html
株式会社マーベラス,"",03-5769-7447,marv_publicity@marv.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001499.000016719.html
株式会社セレス,廣木（ひろき）,03-5797-3347,pr-ir@ceres-inc.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000099.000021504.html
株式会社プラチナエッグ,"","",climbers@platinum-egg.com,アプリ,https://prtimes.jp/main/html/rd/p/000000019.000092285.html
株式会社ookami,若月,090-6007-0533,tsubasa.wakatsuki@ookamiinc.com,アプリ,https://prtimes.jp/main/html/rd/p/000000741.000013627.html
アステリア株式会社,"",03-5718-1297,pm@asteria.com,アプリ,https://prtimes.jp/main/html/rd/p/000000324.000010008.html
株式会社ナビゲート,渡辺・米村・上原,03-6452-9271,odekakeev@navigate.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000001.000100081.html
株式会社ブシロード,佐伯,"",support@bushiroad-creative.com,アプリ,https://prtimes.jp/main/html/rd/p/000006750.000014827.html
ミントフラッグ株式会社,／片山、池田,080-4354-1975,: pr@mintflag.com,アプリ,https://prtimes.jp/main/html/rd/p/000000064.000027398.html
RPS株式会社,"","",pr@rps.fun,アプリ,https://prtimes.jp/main/html/rd/p/000000005.000094249.html
